x,y,h_z,age
-1910000,70000,-1750,0.07035
-1910000,75000,-1750,112.75
-1910000,80000,-1750,0.07035
-1910000,85000,-1750,452.29999999999995
-1910000,90000,-1750,199.65
-1910000,95000,-1750,0.00585
-1910000,100000,-1750,0.07035
-1910000,105000,-1750,0.07035
-1910000,110000,-1750,0.00585
-1910000,115000,-1750,0.00585
-1910000,120000,-1750,112.75
-1910000,125000,-1750,112.75
-1910000,130000,-1750,0.00585
-1910000,135000,-1750,0.00585
-1910000,140000,-1750,0.00585
-1905000,-90000,-1750,24.130000000000003
-1905000,-85000,-1750,0.07035
-1905000,-80000,-1750,41.91
-1905000,-75000,-1750,41.91
