x,y,h,z,h_z,t,ido,keido
-892104.5164,447860.1832,409.0,500,-91.0,80.4,38.623442,140.17668600000002
-890726.3385,447216.5847,400.0,500,-100.0,72.0,38.619361,140.19268300000002
-891875.5418,446292.1897,457.0,500,-43.0,88.8,38.609139,140.181714
-892950.3128,445338.9588,307.0,500,-193.0,134.2,38.59875,140.171603
-861229.3015,437761.8114,280.0,500,-220.0,94.5,38.571533,140.527761
-860927.2397,437064.5716,276.0,500,-224.0,85.4,38.565431,140.532128
-858222.0467,436645.6209,463.0,500,-37.0,61.5,38.565153,140.562128
-861542.2667,441497.9107,403.0,500,-97.0,36.4,38.605983,140.518517
-859244.4304,441107.3164,419.0,500,-81.0,39.3,38.605428,140.544072
-861309.6603,439738.1593,340.0,500,-160.0,38.5,38.589872,140.523797
-859048.9617,439264.0699,455.0,500,-45.0,40.1,38.588485999999996,140.549072
-862485.7320000001,438152.3071,240.0,500,-260.0,43.8,38.573485999999995,140.513519
-861914.3347,436433.4176,454.0,500,-46.0,37.6,38.558211,140.522408
-859405.7656,435536.5171,385.0,500,-115.0,43.9,38.553211,140.551017
-898738.9195,359586.6802,820.0,500,320.0,93.8,37.789633,140.246939
-899407.1427,361788.1944,667.0,500,167.0,54.1,37.809303,140.236292
-903085.7533,361691.0164,935.0,500,435.0,51.2,37.803267,140.197094
-902321.0156,363214.0276,679.0,500,179.0,49.0,37.818583000000004,140.202844
-908621.7135,363604.6885,529.0,500,29.0,34.3,37.813414,140.134811
-898098.9346,360019.5066,793.0,500,293.0,104.5,37.794571999999995,140.253097
-900372.1272,359448.31899999996,789.0,500,289.0,124.6,37.786066999999996,140.229692
-904212.4799,359728.6453,1353.0,500,853.0,52.8,37.783333,140.188178
-898505.1009,361769.9156,719.0,500,219.0,67.1,37.810386,140.245972
-898874.7686,359502.9773,816.0,500,316.0,124.2,37.788661,140.245619
-900298.77,357650.2513,1065.0,500,565.0,173.3,37.769344,140.233336
-904223.7432,349806.7203,1209.0,500,709.0,44.8,37.690467,140.20388300000002
-903931.2288,347992.0162,984.0,500,484.0,61.1,37.673889,140.209894
-903743.3940000001,344133.3321,802.0,500,302.0,41.0,37.638028000000006,140.21803300000002
-901514.2371,346639.102,989.0,500,489.0,130.4,37.664592,140.23783899999998
-901383.0718,342794.3175,1117.0,500,617.0,99.6,37.628778000000004,140.24533300000002
-901497.2940000001,345418.2415,945.0,500,445.0,115.9,37.653186,140.239956
-903544.4954,347313.9289,957.0,500,457.0,113.2,37.668081,140.2151
-902989.6201,349230.6874,1370.0,500,870.0,93.7,37.686797,140.217975
-901379.2814,342800.2694,1118.0,500,618.0,103.4,37.628839,140.245364
-903597.3753,346336.8945,889.0,500,389.0,104.5,37.658861,140.21608899999998
-954431.65,333654.1433,306.0,500,-194.0,113.6,37.467364,139.69553100000002
-957156.4465,332551.0392,468.0,500,-32.0,81.5,37.453033000000005,139.66843300000002
-954144.9992,331733.3681,378.0,500,-122.0,122.1,37.449811,139.701778
-955745.0412,330613.3329,333.0,500,-167.0,159.7,37.436978,139.686656
-952678.1977,330233.9636,395.0,500,-105.0,89.6,37.437931,139.71985
-955041.9378,330870.5666,378.0,500,-122.0,210.2,37.440419,139.693692
-954731.1387,331265.8619,361.0,500,-139.0,153.4,37.444575,139.696333
-954745.572,334509.4651,288.0,500,-212.0,55.9,37.474906,139.690769
-952166.5845,334134.4749,487.0,500,-13.0,55.8,37.475183,139.718794
-956934.7461,333430.521,379.0,500,-121.0,47.4,37.461589000000004,139.669317
-951999.6143,332395.651,448.0,500,-52.0,50.3,37.459156,139.72346100000001
-954271.2632,330643.6873,433.0,500,-67.0,105.1,37.439428,139.702253
-956125.4016,329332.0861,385.0,500,-115.0,60.2,37.424428000000006,139.684756
-956064.0629,329063.0083,386.0,500,-114.0,99.7,37.422,139.685856
-955343.8561,328596.6134,411.0,500,-89.0,95.0,37.418694,139.694278
-1191610.108,202726.8488,1663.0,500,1163.0,43.1,35.854144,137.455803
-1190658.557,198643.0201,1279.0,500,779.0,38.8,35.817608,137.473625
-1185050.3159999999,200000.8338,1239.0,500,739.0,41.2,35.840369,137.528575
-1187521.4479999999,201049.6555,1458.0,500,958.0,42.0,35.845772,137.501122
-1183893.168,198430.3701,1249.0,500,749.0,21.0,35.827725,137.543542
-1191512.606,200513.1456,1425.0,500,925.0,24.3,35.833589,137.46116899999998
-1188860.637,198340.9236,1351.0,500,851.0,19.5,35.818003000000004,137.49268600000002
-1185486.946,197163.4694,1011.0,500,511.0,20.9,35.813010999999996,137.52965
-1016623.646,-117102.0737,121.0,500,-379.0,35.4,33.1188,139.780472
-1016317.7440000001,-121635.326,108.0,500,-392.0,94.0,33.076028,139.790475
-1010208.691,-121050.7151,155.0,500,-345.0,36.7,33.090639,139.849989
-1013119.832,-120937.7553,567.0,500,67.0,94.0,33.087416999999995,139.821025
