x,y,keido,ido,hyoukou
-1945000,30000,130.4283881,32.50010013,13.0
-1945000,40000,130.3994375,32.59263465,6.0
-1945000,55000,130.3558552,32.73133989,51.3
-1945000,60000,130.341286,32.77754926,398.1
-1945000,65000,130.32669579999998,32.82374581,89.4
-1945000,70000,130.3120845,32.86992952,3.8
-1945000,105000,130.2092133,33.19285738,2.7
-1945000,110000,130.1944322,33.23893888,4.7
-1945000,115000,130.1796297,33.28500766,15.0
-1945000,120000,130.16480570000002,33.33106371,472.4
-1945000,125000,130.1499602,33.37710706,635.0
-1945000,130000,130.13509309999998,33.42313771,473.8
-1945000,135000,130.1202045,33.46915566,559.3
-1940000,-175000,131.0502925,30.60545278,106.4
-1940000,-170000,131.0366726,30.6522711,70.6
-1940000,-165000,131.0230336,30.69907607,54.0
-1940000,-160000,131.00937549999998,30.74586771,73.2
-1940000,-120000,130.89941869999998,31.11972231,264.9
-1940000,-115000,130.88558700000002,31.1663945,294.9
-1940000,-110000,130.8717358,31.21305348,366.9
-1940000,-105000,130.8578651,31.25969926,196.1
-1940000,-100000,130.8439749,31.30633185,383.1
-1940000,-95000,130.830065,31.35295126,63.4
-1940000,-90000,130.8161355,31.3995575,114.4
-1940000,-85000,130.8021863,31.4461506,435.7
-1940000,-80000,130.7882174,31.49273055,508.8
-1940000,-75000,130.7742287,31.53929737,599.9
-1940000,-55000,130.7180754,31.72543359,7.7
-1940000,-50000,130.7039873,31.77193493,226.3
-1940000,-45000,130.68987909999998,31.81842321,289.2
-1940000,-40000,130.6757509,31.86489845,269.5
-1940000,-35000,130.66160259999998,31.91136064,322.5
-1940000,-30000,130.6474342,31.95780981,277.0
-1940000,-25000,130.63324550000002,32.00424596,170.6
-1940000,-20000,130.6190367,32.05066911,174.0
-1940000,-15000,130.6048076,32.09707926,210.0
-1940000,-10000,130.5905582,32.14347643,483.0
-1940000,-5000,130.5762884,32.18986063,690.5
-1940000,0,130.5619982,32.23623187,234.7
-1940000,5000,130.5476877,32.28259016,58.0
-1940000,10000,130.5333566,32.32893551,374.0
-1940000,15000,130.519005,32.37526794,126.0
-1940000,40000,130.4469379,32.60673654,11.0
-1940000,105000,130.2571188,33.20705335,3.2
-1940000,110000,130.2423692,33.2531422,3.0
-1940000,115000,130.2275981,33.29921833,13.0
-1940000,120000,130.2128056,33.34528175,524.5
-1940000,125000,130.1979916,33.39133248,531.8
-1940000,130000,130.1831561,33.43737053,418.1
-1940000,135000,130.168299,33.4833959,544.8
-1940000,140000,130.1534203,33.52940861,8.0
-1940000,145000,130.13852,33.57540866,23.0
-1935000,-165000,131.0693139,30.712863399999996,23.0
-1935000,-160000,131.05568540000002,30.759661600000005,131.7
-1935000,-155000,131.0420378,30.806446500000003,79.1
-1935000,-120000,130.9459665,31.13356919,126.1
-1935000,-115000,130.93216470000002,31.18024807,495.7
-1935000,-110000,130.91834340000003,31.22691374,704.7
-1935000,-105000,130.9045027,31.27356623,100.9
-1935000,-100000,130.89064240000002,31.32020555,42.3
-1935000,-95000,130.8767626,31.3668317,15.7
-1935000,-90000,130.8628631,31.4134447,66.7
-1935000,-85000,130.848944,31.46004457,275.5
-1935000,-80000,130.8350052,31.506631300000002,549.3
-1935000,-75000,130.82104669999998,31.55320492,473.4
-1935000,-70000,130.8070683,31.59976543,301.6
-1935000,-55000,130.7650144,31.73936846,5.3
-1935000,-50000,130.7509566,31.78587667,49.8
-1935000,-45000,130.7368788,31.83237183,96.1
-1935000,-40000,130.722781,31.87885396,214.0
-1935000,-35000,130.7086631,31.92532306,239.9
-1935000,-30000,130.6945251,31.97177915,223.0
-1935000,-25000,130.680367,32.01822224,278.3
-1935000,-20000,130.66618870000002,32.06465234,243.8
-1935000,-15000,130.65199009999998,32.11106946,490.5
-1935000,-10000,130.6377713,32.15747361,850.8
-1935000,-5000,130.6235322,32.2038648,593.8
-1935000,0,130.6092727,32.25024305,483.0
-1935000,5000,130.5949929,32.29660837,193.0
-1935000,10000,130.5806926,32.34296075,118.0
-1935000,15000,130.56637179999998,32.38930023,130.0
-1935000,40000,130.4944591,32.6208043,60.0
-1935000,100000,130.31974259999998,33.17510615,2.4
-1935000,105000,130.3050458,33.22121504,2.5
-1935000,110000,130.29032759999998,33.26731121,4.2
